title,link,price,old_price,stock,image_url,source
CYTOL CLEAN GEL NETTOYANT PURIFIANT 175ML,https://pharma-shop.tn/gel-creme-huile/1615-cytol-clean-gel-nettoyant-purifiant-175ml-6192422000240.html,"18,759 TND","26,798 TND",available,https://pharma-shop.tn/24420-home_default/cytol-clean-gel-nettoyant-purifiant-175ml.jpg,pharmashop
DERMACARE PHOTOSUN 01 CREME SOLAIRE TEINTE...,https://pharma-shop.tn/protection-superieure-a-spf-50/4586-dermacare-photosun-01-creme-solaire-teinte-peaux-mixtes-a-grasses-spf-50-50ml-6192432500587.html,"41,094 TND","54,792 TND",available,https://pharma-shop.tn/22895-home_default/dermacare-photosun-01-creme-solaire-teinte-peaux-mixtes-a-grasses-spf-50-50ml.jpg,pharmashop
DERMACARE PHOTOSUN 1.5 CREME SOLAIRE TEINTEE...,https://pharma-shop.tn/solaires/9153-dermacare-photosun-15-creme-solaire-teintee-peaux-mixtes-a-grasses-spf-50-50ml-6192432500655.html,"41,094 TND","54,792 TND",available,https://pharma-shop.tn/22335-home_default/dermacare-photosun-15-creme-solaire-teintee-peaux-mixtes-a-grasses-spf-50-50ml.jpg,pharmashop
DERMEDIC HYDRAIN 3 EAU MICELLAIRE 500ML,https://pharma-shop.tn/eau-tonique-lotion/4411-dermedic-hydrain-3-eau-micellaire-500-ml-5901643174569.html,"21,591 TND","28,788 TND",available,https://pharma-shop.tn/24706-home_default/dermedic-hydrain-3-eau-micellaire-500-ml.jpg,pharmashop
MATERNA DISQUE DEMAQUILLANT BT 80 UNITES,https://pharma-shop.tn/cotons-demaquillants-lingettes-et-eponges/3636-materna-disque-demaquillant-bt-80-unites-3265660112204.html,"3,441 TND","4,301 TND",available,https://pharma-shop.tn/22023-home_default/materna-disque-demaquillant-bt-80-unites.jpg,pharmashop
SVR SUN SECURE BLUR TEINTE SPF50+ 50ML,https://pharma-shop.tn/protection-superieure-a-spf-50/12350-svr-sun-secure-blur-teinte-spf50-50ml-3662361003174.html,"54,218 TND","67,772 TND",available,https://pharma-shop.tn/19537-home_default/svr-sun-secure-blur-teinte-spf50-50ml.jpg,pharmashop
ACM AZEANE CREME ACIDE AZELAIQUE 15% 30ML,https://pharma-shop.tn/peaux-a-imperfections/14650-acm-azeane-creme-acide-azelaique-15-30ml-3760095254616.html,"79,968 TND",,available,https://pharma-shop.tn/25394-home_default/acm-azeane-creme-acide-azelaique-15-30ml.jpg,pharmashop
SENSILIS PHOTOCORRECTION [HA 50+] ECRAN FLUID...,https://pharma-shop.tn/solaires/9463-sensilis-photocorrection-ha-50-fluid-teinte-spf-50-50ml-8428749000051.html,"53,342 TND","62,755 TND",available,https://pharma-shop.tn/23280-home_default/sensilis-photocorrection-ha-50-fluid-teinte-spf-50-50ml.jpg,pharmashop
SVR TOPIALYSE GEL LAVANT FLACON POMPE 1L,https://pharma-shop.tn/gel-creme-huile/2091-svr-topialyse-gel-lavant-flacon-pompe-1l-3662361001866.html,"35,669 TND","44,586 TND",available,https://pharma-shop.tn/13073-home_default/svr-topialyse-gel-lavant-flacon-pompe-1l.jpg,pharmashop
VITA CITRAL TR BAUME A LEVRES 15ML,https://pharma-shop.tn/sticks-baumes-levres-et-reparateurs/4371-vita-citral-baume-a-levres-15ml-3323034242886.html,"21,741 TND",,available,https://pharma-shop.tn/4997-home_default/vita-citral-baume-a-levres-15ml.jpg,pharmashop
